Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
finetuned_correct2,(default package),TransactionEndToEndTest,116,0,10,2,159,13,0,0,1.0,0,3
finetuned_correct2,(default package),TopNBuffer,6,0,16,14,103,24,0,0,0.1875,0,0
finetuned_correct2,(default package),RowDataComparator,1,0,2,1,9,2,0,0,0.0,0,0
finetuned_correct2,(default package),CmdFunctions,62,0,6,2,158,14,0,0,0.8333333333333334,1,5
finetuned_correct2,(default package),BaseCommand,0,0,3,0,17,3,0,0,-1.0,0,0
finetuned_correct2,(default package),NamespaceCommand,2,0,1,1,12,3,0,0,0.0,0,0
finetuned_correct2,(default package),FunctionCommand,4,0,1,0,34,7,0,0,0.0,0,0
finetuned_correct2,(default package),FunctionDetailsCommand,0,0,0,0,2,0,0,0,-1.0,0,0
finetuned_correct2,(default package),WorkerConfig,32,0,0,0,39,0,0,0,-1.0,0,1
finetuned_correct2,(default package),ThreadRuntimeFactoryConfig,0,0,0,0,2,0,0,0,-1.0,0,0
finetuned_correct2,(default package),ProcessRuntimeFactoryConfig,0,0,0,0,2,0,0,0,-1.0,0,0
finetuned_correct2,(default package),KubernetesRuntimeFactoryConfig,1,0,0,0,3,0,0,0,-1.0,0,0
finetuned_correct2,(default package),UTF8Reader,6,0,5,4,111,24,0,0,0.4,0,0
finetuned_correct2,(default package),TreeNode,5,0,16,15,94,33,0,0,0.25,0,1
finetuned_correct2,(default package),IoTDBDataConverter,7,0,11,9,114,23,0,0,0.18181818181818182,0,0
finetuned_correct2,(default package),ConverterToEntity,5,0,3,3,46,9,0,0,0.0,0,0
finetuned_correct2,(default package),ConverterToStorage,2,0,6,6,60,12,0,0,0.0,0,0
finetuned_correct2,(default package),that,56,0,16,12,112,16,0,0,1.0,0,3
finetuned_correct2,(default package),uses,45,0,16,12,99,16,0,0,1.0,0,3
finetuned_correct2,(default package),WindowedDataStream,8,0,0,0,10,0,0,0,-1.0,0,0
finetuned_correct2,(default package),WindowUtils,0,0,10,10,22,10,0,0,-1.0,0,0
finetuned_correct2,(default package),ClosureCleaner,0,0,2,2,6,2,0,0,-1.0,0,0
finetuned_correct2,(default package),WindowBuffer,0,0,2,0,6,2,0,0,-1.0,0,0
finetuned_correct2,(default package),GroupedWindowBuffer,0,0,0,0,2,0,0,0,-1.0,0,0
finetuned_correct2,(default package),BasicWindowBuffer,0,0,0,0,2,0,0,0,-1.0,0,0
