Project Name,Package Name,Type Name,Method Name,Code Smell
codellama_correct,(default package),KVConfigManager,load,Long Statement
codellama_correct,(default package),StandardWrapperValve,invoke,Complex Method
codellama_correct,(default package),StandardWrapperValve,invoke,Long Statement
codellama_correct,(default package),StandardWrapperValve,invoke,Long Statement
codellama_correct,(default package),ApplicationDispatcher,ApplicationDispatcher,Long Parameter List
codellama_correct,(default package),TestClientToAMTokens,serviceStart,Long Statement
codellama_correct,(default package),CustomAM,serviceStart,Long Statement
codellama_correct,(default package),HeapMemoryTaskStorage,insert,Long Statement
codellama_correct,(default package),RowMutationTest,test,Magic Number
codellama_correct,(default package),DefaultHAService,init,Long Identifier
codellama_correct,(default package),DefaultHAService,isSlaveOK,Long Statement
codellama_correct,(default package),DefaultHAService,start,Long Identifier
codellama_correct,(default package),DefaultHAService,removeConnection,Long Identifier
codellama_correct,(default package),DefaultHAService,shutdown,Long Identifier
codellama_correct,(default package),InnerBrokerController,initializeRemotingServer,Magic Number
codellama_correct,(default package),InnerBrokerController,start,Complex Conditional
codellama_correct,(default package),InnerBrokerController,start,Complex Method
codellama_correct,(default package),InnerBrokerController,start,Long Statement
codellama_correct,(default package),InnerBrokerController,start,Magic Number
codellama_correct,(default package),InnerBrokerController,start,Magic Number
codellama_correct,(default package),InnerBrokerController,start,Magic Number
codellama_correct,(default package),InnerBrokerController,start,Magic Number
codellama_correct,(default package),InnerBrokerController,start,Magic Number
codellama_correct,(default package),InnerBrokerController,start,Magic Number
codellama_correct,(default package),InnerBrokerController,shutdown,Magic Number
codellama_correct,(default package),InnerBrokerController,getNameServerList,Long Statement
codellama_correct,(default package),AutoSwitchHAConnection,AutoSwitchHAConnection,Magic Number
codellama_correct,(default package),AutoSwitchHAConnection,AutoSwitchHAConnection,Magic Number
codellama_correct,(default package),AutoSwitchHAConnection,AutoSwitchHAConnection,Magic Number
codellama_correct,(default package),AutoSwitchHAConnection,AutoSwitchHAConnection,Magic Number
codellama_correct,(default package),AutoSwitchHAService,init,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Complex Method
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Identifier
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),DefaultHAService,init,Long Identifier
codellama_correct,(default package),DefaultHAService,isSlaveOK,Long Statement
codellama_correct,(default package),DefaultHAService,start,Long Identifier
codellama_correct,(default package),DefaultHAService,removeConnection,Long Identifier
codellama_correct,(default package),DefaultHAService,shutdown,Long Identifier
codellama_correct,(default package),SQLFederationStateStore,createApplicationHomeSubCluster,Long Statement
codellama_correct,(default package),SQLFederationStateStore,createApplicationHomeSubCluster,Long Statement
codellama_correct,(default package),SQLFederationStateStore,createApplicationHomeSubCluster,Magic Number
codellama_correct,(default package),SQLFederationStateStore,createApplicationHomeSubCluster,Magic Number
codellama_correct,(default package),SQLFederationStateStore,createApplicationHomeSubCluster,Magic Number
codellama_correct,(default package),SQLFederationStateStore,createApplicationHomeSubCluster,Magic Number
codellama_correct,(default package),SQLFederationStateStore,updateApplicationHomeSubCluster,Long Statement
codellama_correct,(default package),SQLFederationStateStore,updateApplicationHomeSubCluster,Long Statement
codellama_correct,(default package),SQLFederationStateStore,updateApplicationHomeSubCluster,Magic Number
codellama_correct,(default package),SQLFederationStateStore,updateApplicationHomeSubCluster,Magic Number
codellama_correct,(default package),SQLFederationStateStore,updateApplicationHomeSubCluster,Magic Number
codellama_correct,(default package),SQLFederationStateStore,deleteApplicationHomeSubCluster,Long Statement
codellama_correct,(default package),SQLFederationStateStore,deleteApplicationHomeSubCluster,Long Statement
codellama_correct,(default package),SQLFederationStateStore,deleteApplicationHomeSubCluster,Magic Number
codellama_correct,(default package),TestRMNMInfo,testRMNMInfoMissmatch,Magic Number
codellama_correct,(default package),TestRMNMInfo,testRMNMInfoMissmatch,Magic Number
codellama_correct,(default package),SchedulingThread,run,Magic Number
codellama_correct,(default package),RefactoredClientNamenodeProtocol,create,Long Parameter List
codellama_correct,(default package),RefactoredClientNamenodeProtocol,create,Long Parameter List
codellama_correct,(default package),SequentialWriter,openChannel,Long Statement
codellama_correct,(default package),SequentialWriter,SequentialWriter,Magic Number
codellama_correct,(default package),DubboProtocolHandler,handle,Complex Method
codellama_correct,(default package),DubboProtocolHandler,handle,Long Statement
codellama_correct,(default package),KinesisSupervisorTuningConfig,KinesisSupervisorTuningConfig,Long Identifier
codellama_correct,(default package),KinesisSupervisorTuningConfig,KinesisSupervisorTuningConfig,Long Parameter List
codellama_correct,(default package),KinesisSupervisorTuningConfig,KinesisSupervisorTuningConfig,Long Statement
codellama_correct,(default package),KinesisSupervisorTuningConfig,toString,Long Statement
codellama_correct,(default package),AbstractProcessor,setErrorState,Complex Conditional
codellama_correct,(default package),AbstractProcessor,setErrorState,Magic Number
codellama_correct,(default package),AbstractProcessor,setErrorState,Magic Number
codellama_correct,(default package),SSTableSliceIterator,SSTableSliceIterator,Long Parameter List
codellama_correct,(default package),SSTableSliceIterator,SSTableSliceIterator,Long Statement
codellama_correct,(default package),SSTableSliceIterator,ColumnGroupReader,Long Parameter List
codellama_correct,(default package),SSTableSliceIterator,ColumnGroupReader,Long Statement
codellama_correct,(default package),ColumnGroupReader,ColumnGroupReader,Long Parameter List
codellama_correct,(default package),ColumnGroupReader,ColumnGroupReader,Long Statement
codellama_correct,(default package),MutableBucket,sealBucketAndAsyncPersistent,Long Identifier
codellama_correct,(default package),MutableBucket,sealBucketAndAsyncPersistent,Long Statement
codellama_correct,(default package),MutableBucket,createImmutableBucketAndAsyncPersistent,Long Identifier
codellama_correct,(default package),MutableBucket,createImmutableBucketAndAsyncPersistent,Long Parameter List
codellama_correct,(default package),WebAnnotationSet,loadApplicationServletAnnotations,Long Statement
codellama_correct,(default package),ManagerServlet,init,Complex Method
codellama_correct,(default package),ManagerServlet,doGet,Complex Method
codellama_correct,(default package),MonitoringThread,checkContainerResourceLimits,Long Statement
codellama_correct,(default package),MonitoringThread,checkContainerVirtualMemoryLimits,Long Statement
codellama_correct,(default package),BootStrapper,getBootstrapToken,Long Statement
codellama_correct,(default package),BootStrapper,getBootstrapSource,Long Statement
codellama_correct,(default package),BootStrapper,getBootstrapSource,Long Statement
codellama_correct,(default package),BootStrapper,getBootstrapTokenFrom,Magic Number
codellama_correct,(default package),RetryInvocationHandler,invoke,Complex Method
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Identifier
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),RetryInvocationHandler,invoke,Long Statement
codellama_correct,(default package),Summariser,sampleOccurred,Complex Conditional
codellama_correct,(default package),Summariser,sampleOccurred,Long Identifier
codellama_correct,(default package),Summariser,sampleOccurred,Magic Number
codellama_correct,(default package),Summariser,doubleToSb,Long Parameter List
codellama_correct,(default package),RequestTableCellRenderer,getTableCellRendererComponent,Long Parameter List
codellama_correct,(default package),ProtobufUtil,convert,Long Statement
codellama_correct,(default package),ProtobufUtil,convert,Long Statement
codellama_correct,(default package),ProtobufUtil,convert,Long Statement
codellama_correct,(default package),ProtobufUtil,convert,Long Statement
codellama_correct,(default package),ProtobufUtil,convert,Long Statement
codellama_correct,(default package),ZookeeperCacheTest,testSimpleCache,Empty catch clause
codellama_correct,(default package),ZookeeperCacheTest,testSimpleCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testSimpleCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testSimpleCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testChildrenCache,Empty catch clause
codellama_correct,(default package),ZookeeperCacheTest,testChildrenCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testChildrenCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testChildrenCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testChildrenCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testChildrenCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testChildrenCache,Magic Number
codellama_correct,(default package),ZookeeperCacheTest,testChildrenCacheZnodeCreatedAfterCache,Magic Number
codellama_correct,(default package),WsServlet,doGet,Complex Method
codellama_correct,(default package),WsServlet,doGet,Magic Number
codellama_correct,(default package),TestPublishedConfigurationOutputter,testXml,Long Statement
codellama_correct,(default package),TestPublishedConfigurationOutputter,testXml,Long Statement
codellama_correct,(default package),TestPublishedConfigurationOutputter,testHadoopXml,Long Statement
codellama_correct,(default package),TestPublishedConfigurationOutputter,testHadoopXml,Long Statement
codellama_correct,(default package),TestPublishedConfigurationOutputter,testHadoopXml,Long Statement
codellama_correct,(default package),TestPublishedConfigurationOutputter,testProperties,Long Statement
codellama_correct,(default package),TestPublishedConfigurationOutputter,testEnv,Long Statement
codellama_correct,(default package),StandardWrapperValve,invoke,Complex Method
codellama_correct,(default package),StandardWrapperValve,invoke,Long Statement
codellama_correct,(default package),StandardWrapperValve,invoke,Long Statement
codellama_correct,(default package),NioReplicationTask,run,Complex Method
codellama_correct,(default package),NioReplicationTask,run,Long Statement
codellama_correct,(default package),NioReplicationTask,run,Long Statement
codellama_correct,(default package),JDateField,JDateField,Magic Number
codellama_correct,(default package),JDateField,parseDate,Empty catch clause
codellama_correct,(default package),ConsumerOffsetManager,whichTopicByConsumer,Magic Number
codellama_correct,(default package),ConsumerOffsetManager,cloneOffsetTable,Long Statement
codellama_correct,(default package),ConsumerOffsetManager,computePullTPS,Magic Number
codellama_correct,(default package),ConsumerOffsetManager,commitOffset,Magic Number
codellama_correct,(default package),BufferConsumer,main,Long Statement
codellama_correct,(default package),BufferConsumer,main,Magic Number
codellama_correct,(default package),BufferConsumer,main,Magic Number
codellama_correct,(default package),BufferConsumer,main,Magic Number
codellama_correct,(default package),BufferConsumer,main,Magic Number
codellama_correct,(default package),BufferConsumer,main,Magic Number
